,User,Created_at,Tweet,Compound,Positive,Neutral,Negative
0,@BBC,2018-03-29 07:00:10,"What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m",0.0,0.0,1.0,0.0
1,@BBC,2018-03-28 18:00:05,🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW,0.0,0.0,1.0,0.0
2,@BBC,2018-03-28 17:00:12,"📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N",0.296,0.109,0.891,0.0
3,@BBC,2018-03-28 16:30:00,The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP,-0.8225,0.0,0.688,0.312
4,@BBC,2018-03-28 16:00:10,Slacking off in Dubai. https://t.co/a3oSKIxfSK,0.0,0.0,1.0,0.0
5,@BBC,2018-03-28 15:35:27,RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…,0.7506,0.28,0.72,0.0
6,@BBC,2018-03-28 13:32:04,"Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1",0.0,0.0,1.0,0.0
7,@BBC,2018-03-28 12:26:01,"The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO",-0.3182,0.0,0.887,0.113
8,@BBC,2018-03-28 11:50:54,RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…,0.0,0.0,1.0,0.0
9,@BBC,2018-03-28 11:49:07,"RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…",0.0,0.0,1.0,0.0
10,@BBC,2018-03-28 11:47:35,"RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…",0.0,0.0,1.0,0.0
11,@BBC,2018-03-28 11:47:08,"RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…",-0.34,0.0,0.902,0.098
12,@BBC,2018-03-28 11:45:32,RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…,0.0,0.0,1.0,0.0
13,@BBC,2018-03-28 11:42:34,RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…,0.0,0.0,1.0,0.0
14,@BBC,2018-03-28 11:30:09,♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3,0.3182,0.108,0.837,0.056
15,@BBC,2018-03-28 11:04:03,"😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu",0.0,0.0,1.0,0.0
16,@BBC,2018-03-28 10:53:47,"RT @bbcthree: In our latest doc, we investigate allegations that R Kelly has been training a 14-year-old girl to be one his sex ""pets"" http…",0.0,0.0,1.0,0.0
17,@BBC,2018-03-28 10:33:03,Tickling sticks have been placed on statues in Liverpool ahead of Sir Ken Dodd's funeral. https://t.co/pPGGg07ZQi https://t.co/LSwzv5Qipw,-0.3612,0.0,0.865,0.135
18,@BBC,2018-03-28 09:53:41,🛁🐤 Are your bathroom toys in-fact DEADLY? 😱 https://t.co/YrtMOzTvrb,0.0,0.0,1.0,0.0
